               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12892,             0.13148,            0.049145,             0.27603,             0.15357,            0.081613,            0.033612,             0.10718,             0.22769,            0.041285,            0.070046,           0.0033282,           0.0033282
                   1,             0.11021,             0.16725,            0.038241,             0.31251,             0.18722,             0.11135,            0.046887,             0.10327,             0.23124,            0.038507,             0.03998,           0.0065956,           0.0065956
                   2,             0.10801,             0.17005,            0.035709,             0.47072,             0.19096,              0.1466,            0.062081,              0.1011,             0.23356,            0.036682,           0.0098484,            0.009797,            0.009797
                   3,             0.10538,             0.16876,            0.033902,             0.40091,             0.20354,             0.16711,            0.078871,            0.098902,             0.23194,            0.035292,            0.009703,            0.009703,            0.009703
                   4,              0.1033,             0.16979,            0.032317,             0.42184,             0.20586,             0.17973,            0.084563,            0.097877,             0.23096,            0.034377,            0.009703,            0.009703,            0.009703
                   5,             0.10222,             0.16801,            0.031348,             0.51383,             0.22009,             0.20282,             0.09858,            0.096852,             0.22964,            0.033729,            0.009604,            0.009604,            0.009604
                   6,             0.10152,             0.16586,            0.030793,             0.48728,             0.22915,             0.21291,             0.10446,            0.096446,              0.2282,            0.033481,            0.009505,            0.009505,            0.009505
                   7,             0.10076,             0.16564,            0.030063,             0.42841,             0.23187,             0.21747,             0.10874,            0.096049,             0.22853,            0.033118,            0.009406,            0.009406,            0.009406
                   8,             0.10035,             0.16601,            0.029731,             0.33003,             0.24726,             0.22421,             0.11134,            0.095729,             0.22918,            0.032733,            0.009307,            0.009307,            0.009307
                   9,            0.099781,             0.16505,            0.029395,             0.32485,             0.26918,             0.23729,             0.11768,            0.095565,             0.22739,            0.032223,            0.009208,            0.009208,            0.009208
                  10,            0.099996,              0.1638,            0.028938,             0.34688,             0.27255,             0.24246,             0.12189,            0.095199,             0.22788,            0.032104,            0.009109,            0.009109,            0.009109
                  11,            0.099257,             0.16451,            0.028564,              0.3273,             0.28578,             0.24627,             0.12357,            0.094958,             0.22838,            0.032309,             0.00901,             0.00901,             0.00901
                  12,             0.09918,             0.16492,            0.028305,             0.34263,             0.28017,             0.25165,             0.12816,            0.094916,             0.22758,            0.031987,            0.008911,            0.008911,            0.008911
                  13,            0.098705,             0.16226,            0.028164,             0.34426,             0.29013,             0.25422,             0.12881,            0.094936,              0.2265,             0.03187,            0.008812,            0.008812,            0.008812
                  14,            0.098395,             0.16421,            0.027934,             0.35385,             0.28792,             0.25898,             0.13365,            0.094255,             0.22677,            0.031648,            0.008713,            0.008713,            0.008713
                  15,            0.098374,             0.16213,            0.027731,             0.35935,             0.28873,             0.26035,             0.13206,            0.094242,              0.2262,             0.03153,            0.008614,            0.008614,            0.008614
                  16,            0.098312,             0.16405,            0.027452,              0.3647,             0.28997,             0.26373,             0.13508,            0.094318,             0.22577,            0.031374,            0.008515,            0.008515,            0.008515
                  17,             0.09824,              0.1628,            0.027278,             0.38284,             0.29558,             0.27439,             0.14137,            0.093994,             0.22517,            0.031268,            0.008416,            0.008416,            0.008416
                  18,             0.09751,             0.16212,            0.027144,             0.38225,             0.29365,             0.27377,             0.14051,            0.094016,             0.22569,            0.031052,            0.008317,            0.008317,            0.008317
                  19,            0.097633,              0.1629,            0.026876,              0.3816,             0.29617,             0.27441,             0.14211,            0.093853,             0.22514,            0.031254,            0.008218,            0.008218,            0.008218
                  20,              0.0975,             0.16025,            0.026712,             0.37994,             0.30415,             0.27824,             0.14243,            0.093691,             0.22507,            0.030912,            0.008119,            0.008119,            0.008119
                  21,            0.097117,              0.1605,            0.026755,             0.37623,             0.30921,             0.28138,              0.1455,            0.093471,             0.22518,            0.030869,             0.00802,             0.00802,             0.00802
                  22,            0.096786,             0.16058,            0.026434,             0.38929,             0.30411,              0.2834,             0.14667,            0.093425,             0.22467,            0.030778,            0.007921,            0.007921,            0.007921
                  23,            0.096991,             0.15878,            0.026376,             0.39072,             0.30074,             0.28446,             0.14805,            0.093367,             0.22462,            0.030837,            0.007822,            0.007822,            0.007822
                  24,            0.096793,             0.15857,            0.026255,             0.40173,             0.30484,             0.28872,             0.15112,            0.093368,             0.22439,            0.030713,            0.007723,            0.007723,            0.007723
                  25,            0.096699,              0.1602,            0.026076,             0.39474,             0.30713,              0.2838,             0.14865,            0.093166,              0.2245,            0.031023,            0.007624,            0.007624,            0.007624
                  26,            0.096214,              0.1585,            0.025996,              0.4119,             0.30516,             0.29128,             0.15325,            0.093155,             0.22516,             0.03056,            0.007525,            0.007525,            0.007525
                  27,            0.096294,             0.15957,            0.026052,             0.40197,              0.3064,              0.2937,             0.15458,            0.093169,             0.22455,            0.030341,            0.007426,            0.007426,            0.007426
                  28,             0.09683,             0.15887,            0.026022,             0.41458,             0.31167,             0.29912,             0.15809,            0.093074,             0.22424,            0.030259,            0.007327,            0.007327,            0.007327
                  29,            0.096712,             0.15927,            0.025812,             0.40202,             0.31982,             0.29823,             0.15582,            0.093089,             0.22449,            0.030422,            0.007228,            0.007228,            0.007228
                  30,            0.095986,             0.15838,            0.025646,             0.41117,             0.30796,              0.2965,             0.15628,             0.09301,             0.22401,            0.030529,            0.007129,            0.007129,            0.007129
                  31,            0.096238,             0.15918,            0.025655,             0.40017,             0.30705,             0.29574,             0.15687,            0.092912,             0.22419,            0.030388,             0.00703,             0.00703,             0.00703
                  32,            0.096573,             0.16007,            0.025411,             0.41722,             0.31315,             0.29679,             0.15716,            0.092858,             0.22408,            0.030413,            0.006931,            0.006931,            0.006931
                  33,             0.09607,             0.15969,            0.025388,             0.41732,             0.31027,             0.30088,             0.15949,            0.092706,             0.22347,            0.030284,            0.006832,            0.006832,            0.006832
                  34,            0.095747,             0.15908,            0.025379,             0.42101,             0.30975,             0.30009,             0.15879,            0.092762,             0.22433,             0.03016,            0.006733,            0.006733,            0.006733
                  35,            0.096151,             0.15776,             0.02524,             0.40572,             0.31526,             0.30409,             0.16103,            0.092689,             0.22357,            0.030218,            0.006634,            0.006634,            0.006634
                  36,            0.095877,             0.15776,             0.02517,             0.41448,             0.31035,             0.29624,             0.15616,            0.092693,             0.22471,            0.030362,            0.006535,            0.006535,            0.006535
                  37,             0.09593,             0.15825,            0.025361,             0.41919,             0.31892,             0.30847,             0.16359,            0.092572,             0.22353,            0.030195,            0.006436,            0.006436,            0.006436
                  38,            0.094923,             0.15508,            0.025091,             0.41754,             0.31775,             0.30891,             0.16437,            0.092431,              0.2238,            0.030023,            0.006337,            0.006337,            0.006337
                  39,            0.095526,             0.15727,            0.024986,             0.41282,             0.32132,             0.31039,             0.16676,            0.092416,              0.2233,            0.030024,            0.006238,            0.006238,            0.006238
                  40,            0.095127,             0.15633,            0.024822,             0.41826,             0.31804,             0.30596,             0.16259,            0.092441,             0.22388,            0.030122,            0.006139,            0.006139,            0.006139
                  41,            0.095302,             0.15533,            0.024757,             0.41768,             0.32318,             0.31209,             0.16658,            0.092336,             0.22341,            0.029978,             0.00604,             0.00604,             0.00604
                  42,            0.095163,             0.15642,            0.024944,             0.42111,             0.31941,             0.31317,             0.16732,            0.092256,             0.22303,            0.030008,            0.005941,            0.005941,            0.005941
                  43,            0.095029,             0.15726,            0.024682,             0.42817,             0.32091,             0.31575,             0.16784,            0.092232,             0.22332,            0.029934,            0.005842,            0.005842,            0.005842
                  44,            0.095202,             0.15636,            0.024566,               0.423,             0.31877,             0.31279,             0.16651,             0.09229,             0.22327,            0.030042,            0.005743,            0.005743,            0.005743
                  45,            0.095111,             0.15572,            0.024657,             0.41023,             0.32975,             0.31156,             0.16588,            0.092173,             0.22338,            0.030076,            0.005644,            0.005644,            0.005644
                  46,            0.094873,             0.15641,            0.024414,             0.42939,             0.32402,             0.31452,              0.1679,            0.092193,             0.22366,            0.029823,            0.005545,            0.005545,            0.005545
                  47,            0.095196,             0.15554,            0.024481,             0.42914,             0.32181,             0.31758,             0.17074,            0.092114,             0.22356,            0.029869,            0.005446,            0.005446,            0.005446
                  48,              0.0952,             0.15595,            0.024441,             0.42704,             0.32425,             0.31562,             0.16887,            0.091975,             0.22314,            0.029903,            0.005347,            0.005347,            0.005347
                  49,            0.094395,             0.15509,            0.024433,             0.43136,             0.31841,             0.31625,             0.17018,            0.092016,             0.22295,            0.029923,            0.005248,            0.005248,            0.005248
                  50,            0.094778,             0.15673,            0.024316,             0.43213,             0.32648,             0.32047,             0.17211,            0.091944,             0.22303,            0.029726,            0.005149,            0.005149,            0.005149
                  51,             0.09473,             0.15509,            0.024286,             0.44291,              0.3232,             0.31938,             0.17289,            0.091967,             0.22299,            0.029745,             0.00505,             0.00505,             0.00505
                  52,            0.094798,              0.1544,            0.024149,              0.4361,              0.3264,             0.32017,             0.17284,            0.091998,             0.22327,            0.029768,            0.004951,            0.004951,            0.004951
                  53,            0.094526,             0.15441,            0.023988,             0.43228,             0.32976,             0.32212,             0.17303,            0.091917,             0.22296,            0.029682,            0.004852,            0.004852,            0.004852
                  54,            0.094693,             0.15443,            0.024063,             0.42921,             0.33148,             0.32284,             0.17295,            0.091879,             0.22286,            0.029606,            0.004753,            0.004753,            0.004753
                  55,            0.094829,             0.15408,            0.024188,             0.43295,             0.32343,             0.31973,             0.17163,            0.091883,             0.22315,            0.029746,            0.004654,            0.004654,            0.004654
                  56,            0.094704,             0.15571,            0.023957,             0.43394,             0.32937,             0.32185,             0.17448,            0.091755,             0.22322,            0.029765,            0.004555,            0.004555,            0.004555
                  57,            0.093885,              0.1532,            0.023908,             0.43721,             0.32472,             0.32297,             0.17451,            0.091766,             0.22358,            0.029657,            0.004456,            0.004456,            0.004456
                  58,            0.094142,              0.1536,            0.023749,             0.43614,             0.32547,             0.32309,             0.17433,            0.091761,             0.22343,             0.02963,            0.004357,            0.004357,            0.004357
