               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12793,             0.13439,            0.049618,             0.27317,             0.15939,            0.083061,            0.035133,             0.10516,             0.22502,            0.041946,            0.070014,           0.0033318,           0.0033318
                   1,             0.10793,             0.17002,            0.038872,             0.31134,              0.2029,             0.11499,            0.049627,             0.10019,             0.23169,            0.039501,            0.039992,           0.0066431,           0.0066431
                   2,             0.10583,             0.17251,            0.036486,             0.45817,             0.19314,             0.13877,            0.062726,            0.099224,             0.23075,            0.037318,           0.0099479,           0.0099325,           0.0099325
                   3,             0.10369,             0.17289,             0.03474,              0.4988,             0.19683,             0.16523,              0.0775,            0.097295,             0.23011,            0.035784,            0.009901,            0.009901,            0.009901
                   4,             0.10229,             0.17074,            0.033198,             0.41538,             0.20713,             0.17877,            0.085541,            0.096324,             0.22972,             0.03495,            0.009901,            0.009901,            0.009901
                   5,               0.101,             0.17059,            0.032357,             0.44094,             0.21501,              0.1904,            0.093308,            0.095361,             0.22843,            0.034444,            0.009868,            0.009868,            0.009868
                   6,             0.10039,             0.17051,            0.031592,             0.45615,             0.22345,             0.20533,             0.10014,            0.095151,             0.22762,            0.034047,            0.009835,            0.009835,            0.009835
                   7,            0.099646,             0.17106,            0.030989,             0.46943,             0.23185,             0.21047,             0.10426,            0.094512,             0.22703,            0.033442,            0.009802,            0.009802,            0.009802
                   8,            0.098588,             0.16701,              0.0304,             0.48365,             0.23333,             0.22255,             0.11132,            0.094238,             0.22685,            0.033173,            0.009769,            0.009769,            0.009769
                   9,            0.098788,               0.167,            0.030099,             0.31991,             0.24272,             0.22358,             0.10994,            0.094027,             0.22702,            0.032972,            0.009736,            0.009736,            0.009736
                  10,            0.097881,             0.16596,            0.029901,             0.33772,             0.25109,             0.23444,             0.11845,            0.093557,              0.2271,            0.032618,            0.009703,            0.009703,            0.009703
                  11,            0.097456,             0.16668,            0.029456,             0.32292,             0.25712,             0.23696,             0.11776,            0.093389,              0.2264,            0.032443,             0.00967,             0.00967,             0.00967
                  12,            0.097584,              0.1665,            0.029113,              0.3563,             0.26095,             0.24453,             0.12361,            0.093129,             0.22605,            0.032553,            0.009637,            0.009637,            0.009637
                  13,            0.097223,             0.16424,            0.028959,             0.35868,              0.2697,             0.24671,             0.12622,            0.093114,              0.2254,            0.032193,            0.009604,            0.009604,            0.009604
                  14,            0.096911,             0.16403,            0.028819,             0.34924,             0.27513,             0.25031,             0.12675,            0.092849,             0.22534,            0.032001,            0.009571,            0.009571,            0.009571
                  15,            0.096272,               0.162,            0.028451,             0.36793,              0.2863,             0.25812,             0.13056,            0.092514,             0.22552,            0.031793,            0.009538,            0.009538,            0.009538
                  16,            0.096644,             0.16479,            0.028319,             0.35737,             0.27776,             0.25841,             0.13175,            0.092527,             0.22566,            0.031868,            0.009505,            0.009505,            0.009505
                  17,            0.096111,             0.16319,            0.027845,             0.36916,             0.28102,               0.264,             0.13416,             0.09237,             0.22561,            0.031555,            0.009472,            0.009472,            0.009472
                  18,            0.096114,             0.16488,             0.02799,             0.38255,             0.29132,             0.26858,             0.13711,            0.092367,             0.22458,            0.031587,            0.009439,            0.009439,            0.009439
                  19,            0.096076,             0.16356,             0.02772,             0.37712,             0.28521,              0.2719,             0.13876,            0.092355,             0.22479,            0.031467,            0.009406,            0.009406,            0.009406
                  20,            0.095652,             0.16347,            0.027663,             0.36945,             0.29172,             0.27047,             0.13982,            0.092107,             0.22388,            0.031579,            0.009373,            0.009373,            0.009373
                  21,            0.095964,             0.16358,            0.027691,             0.37924,              0.2958,             0.27593,             0.14327,            0.091951,             0.22382,            0.031263,             0.00934,             0.00934,             0.00934
                  22,            0.095307,             0.16241,            0.027296,             0.38328,             0.29933,             0.27945,             0.14433,            0.091894,              0.2238,            0.031216,            0.009307,            0.009307,            0.009307
                  23,            0.095516,             0.16318,            0.027329,              0.3799,             0.30265,             0.27926,             0.14604,            0.091886,             0.22383,            0.030981,            0.009274,            0.009274,            0.009274
                  24,            0.095383,             0.16348,            0.027122,             0.36615,             0.30598,                0.28,             0.14666,            0.091747,             0.22275,            0.031033,            0.009241,            0.009241,            0.009241
                  25,            0.095345,             0.16149,             0.02702,               0.387,             0.30136,             0.28169,             0.14805,            0.091679,             0.22334,            0.031084,            0.009208,            0.009208,            0.009208
                  26,            0.095382,             0.16286,            0.027041,             0.38421,             0.30604,             0.28543,              0.1495,            0.091658,             0.22336,            0.030923,            0.009175,            0.009175,            0.009175
                  27,            0.094893,             0.16032,            0.026961,             0.38788,             0.30749,             0.28975,             0.15172,            0.091436,             0.22314,            0.030914,            0.009142,            0.009142,            0.009142
                  28,            0.095296,             0.16274,            0.026596,             0.38995,             0.29886,             0.28789,              0.1502,            0.091546,             0.22318,            0.030958,            0.009109,            0.009109,            0.009109
                  29,            0.094888,             0.16264,            0.026653,             0.38602,             0.31056,             0.28802,              0.1501,            0.091446,             0.22342,            0.030754,            0.009076,            0.009076,            0.009076
                  30,            0.095057,             0.16239,             0.02667,              0.3867,             0.30813,             0.28989,             0.15291,            0.091286,             0.22357,            0.030729,            0.009043,            0.009043,            0.009043
                  31,            0.094848,             0.16231,            0.026552,             0.40326,             0.31115,             0.29719,             0.15708,            0.091217,             0.22387,            0.030611,             0.00901,             0.00901,             0.00901
                  32,            0.094807,             0.16241,            0.026542,             0.40283,              0.3158,             0.29731,             0.15669,            0.091187,             0.22307,            0.030609,            0.008977,            0.008977,            0.008977
                  33,            0.094164,             0.16014,            0.026483,             0.40684,             0.30855,             0.29766,             0.15892,            0.091123,             0.22317,            0.030608,            0.008944,            0.008944,            0.008944
                  34,            0.094912,             0.16223,            0.026352,             0.41395,             0.30578,             0.29897,             0.15863,            0.091073,             0.22242,            0.030498,            0.008911,            0.008911,            0.008911
